#{"t_start": 1734747032.8430321, "env_id": "ContinuousCartPole-v0"}
r,l,t
34.0,34,0.250922
28.0,28,0.254449
31.0,31,0.258476
51.0,51,0.692389
43.0,43,1.099373
35.0,35,1.430757
31.0,31,1.723192
40.0,40,2.129719
71.0,71,2.800462
38.0,38,3.157939
30.0,30,3.470809
40.0,40,3.849862
39.0,39,4.220376
56.0,56,4.748142
33.0,33,5.091808
61.0,61,5.664451
47.0,47,6.107019
26.0,26,6.351343
35.0,35,6.679496
50.0,50,7.181454
63.0,63,7.772491
79.0,79,8.544139
43.0,43,8.943177
46.0,46,9.371693
31.0,31,9.662111
47.0,47,10.098817
34.0,34,10.416666
42.0,42,10.857027
37.0,37,11.201982
38.0,38,11.555646
58.0,58,12.126822
37.0,37,12.472956
33.0,33,12.781726
31.0,31,13.070276
37.0,37,13.417429
31.0,31,13.741022
58.0,58,14.285331
26.0,26,14.529041
52.0,52,15.045376
64.0,64,15.644482
48.0,48,16.091805
35.0,35,16.420395
43.0,43,16.854821
34.0,34,17.174098
37.0,37,17.522056
31.0,31,17.811473
51.0,51,18.327014
69.0,69,18.978638
36.0,36,19.315184
74.0,74,20.004887
40.0,40,20.409658
31.0,31,20.696488
114.0,114,21.758264
39.0,39,22.15803
46.0,46,22.586467
29.0,29,22.860014
39.0,39,23.221958
39.0,39,23.586075
85.0,85,24.409068
37.0,37,24.75565
64.0,64,25.355164
42.0,42,25.749942
44.0,44,26.189639
33.0,33,26.498397
61.0,61,27.070613
55.0,55,27.584197
46.0,46,28.058876
81.0,81,28.818502
51.0,51,29.297682
48.0,48,29.748029
39.0,39,30.141689
38.0,38,30.498066
37.0,37,30.846463
42.0,42,31.237316
45.0,45,31.690881
53.0,53,32.182915
72.0,72,32.853637
39.0,39,33.223751
83.0,83,34.02746
41.0,41,34.409084
39.0,39,34.772961
41.0,41,35.151904
34.0,34,35.49317
41.0,41,35.879945
45.0,45,36.299645
46.0,46,36.728325
35.0,35,37.096204
33.0,33,37.409234
41.0,41,37.794883
37.0,37,38.141423
117.0,117,39.269521
38.0,38,39.624209
53.0,53,40.122656
37.0,37,40.469606
38.0,38,40.859247
52.0,52,41.3441
41.0,41,41.729871
46.0,46,42.160201
52.0,52,42.676777
39.0,39,43.041632
56.0,56,43.569303
69.0,69,44.247745
40.0,40,44.622042
70.0,70,45.27632
56.0,56,45.798723
150.0,150,47.248275
78.0,78,47.975954
37.0,37,48.322077
57.0,57,48.855761
51.0,51,49.331134
59.0,59,49.915501
49.0,49,50.374437
122.0,122,51.553269
66.0,66,52.172985
62.0,62,52.756488
223.0,223,54.846322
242.0,242,57.145936
69.0,69,57.790575
204.0,204,59.692767
157.0,157,61.155768
141.0,141,62.508692
154.0,154,63.94527
157.0,157,65.421142
163.0,163,66.94684
249.0,249,69.317223
174.0,174,70.94714
323.0,323,73.962572
354.0,354,77.267975
175.0,175,78.962434
268.0,268,81.476993
217.0,217,83.511066
203.0,203,85.405239
392.0,392,89.099793
288.0,288,91.797352
267.0,267,94.298253
223.0,223,96.383195
500.0,500,101.094515
299.0,299,103.884899
332.0,332,107.002537
488.0,488,111.569625
497.0,497,116.249449
463.0,463,120.5737
433.0,433,124.656663
500.0,500,129.332395
500.0,500,134.071686
500.0,500,138.756651
276.0,276,141.337175
303.0,303,144.167477
468.0,468,148.59523
323.0,323,151.619981
402.0,402,155.374212
436.0,436,159.458273
484.0,484,164.026189
500.0,500,168.69834
415.0,415,172.584929
500.0,500,177.280228
500.0,500,182.000146
358.0,358,185.347057
500.0,500,190.046594
500.0,500,194.732919
476.0,476,199.207148
474.0,474,203.657669
459.0,459,207.96264
406.0,406,211.757814
500.0,500,216.478431
472.0,472,220.900901
355.0,355,224.223357
500.0,500,228.901257
467.0,467,233.326596
500.0,500,238.010371
500.0,500,242.707953
500.0,500,247.407234
449.0,449,251.638012
459.0,459,255.942932
409.0,409,259.779183
392.0,392,263.449322
450.0,450,267.710614
400.0,400,271.462959
500.0,500,276.152395
358.0,358,279.505622
402.0,402,283.307712
485.0,485,287.865242
500.0,500,292.539351
413.0,413,296.401487
360.0,360,299.824556
436.0,436,303.921065
361.0,361,307.329855
500.0,500,312.036932
447.0,447,316.271366
327.0,327,319.334026
352.0,352,322.631927
333.0,333,325.764339
392.0,392,329.490862
341.0,341,332.67962
493.0,493,337.31812
458.0,458,341.626539
343.0,343,344.878196
316.0,316,347.834182
495.0,495,352.483097
327.0,327,355.560343
374.0,374,359.103619
355.0,355,362.434702
368.0,368,365.896304
375.0,375,369.417338
396.0,396,373.13572
366.0,366,376.577143
284.0,284,379.257397
408.0,408,383.100606
350.0,350,386.423665
418.0,418,390.353883
324.0,324,393.405103
345.0,345,396.649599
462.0,462,401.033617
345.0,345,404.28327
335.0,335,407.433172
374.0,374,410.939548
313.0,313,413.907607
414.0,414,417.796279
325.0,325,420.857877
325.0,325,423.914407
449.0,449,428.158578
326.0,326,431.222359
322.0,322,434.252388
347.0,347,437.512216
336.0,336,440.707422
371.0,371,444.189796
383.0,383,447.792113
360.0,360,451.175957
367.0,367,454.645876
443.0,443,458.645176
201.0,201,460.386838
420.0,420,464.267707
222.0,222,466.389924
477.0,477,470.875358
500.0,500,475.575359
194.0,194,477.393922
186.0,186,479.181826
287.0,287,481.871787
176.0,176,483.529275
180.0,180,485.238268
170.0,170,486.885148
292.0,292,489.630282
309.0,309,492.527173
292.0,292,495.268736
153.0,153,496.740997
164.0,164,498.288664
313.0,313,501.234921
308.0,308,504.124364
306.0,306,507.020646
217.0,217,509.056713
186.0,186,510.80995
169.0,169,512.401543
367.0,367,515.899724
182.0,182,517.602622
177.0,177,519.263385
180.0,180,520.950332
168.0,168,522.56062
195.0,195,524.395053
161.0,161,525.910304
205.0,205,527.845301
168.0,168,529.471576
160.0,160,530.970917
145.0,145,532.32539
151.0,151,533.739803
164.0,164,535.3098
279.0,279,537.936018
152.0,152,539.363815
231.0,231,541.533225
154.0,154,543.028851
153.0,153,544.464713
152.0,152,545.887369
195.0,195,547.710952
183.0,183,549.46562
170.0,170,551.061778
185.0,185,552.797734
178.0,178,554.46829
148.0,148,555.892143
189.0,189,557.660017
159.0,159,559.145128
195.0,195,560.974753
363.0,363,564.413384
284.0,284,567.081177
165.0,165,568.632687
178.0,178,570.304025
500.0,500,575.035984
177.0,177,576.74149
294.0,294,579.501964
153.0,153,580.93719
163.0,163,582.503355
179.0,179,584.183392
217.0,217,586.21396
228.0,228,588.352409
333.0,333,591.527811
201.0,201,593.409671
172.0,172,595.024648
299.0,299,597.827
214.0,214,599.862579
179.0,179,601.535553
186.0,186,603.282622
254.0,254,605.671115
170.0,170,607.302592
194.0,194,609.124197
194.0,194,610.940563
271.0,271,613.474372
315.0,315,616.46525
194.0,194,618.292229
296.0,296,621.074502
335.0,335,624.221971
197.0,197,626.101542
500.0,500,630.784922
244.0,244,633.081493
255.0,255,635.474304
207.0,207,637.450102
190.0,190,639.231331
311.0,311,642.144889
312.0,312,645.073352
334.0,334,648.252593
463.0,463,652.609909
309.0,309,655.504302
389.0,389,659.153846
428.0,428,663.228432
333.0,333,666.375397
500.0,500,671.08271
343.0,343,674.317078
332.0,332,677.470489
500.0,500,682.168086
317.0,317,685.148038
331.0,331,688.263941
500.0,500,693.00325
500.0,500,697.687193
500.0,500,702.394044
422.0,422,706.353102
500.0,500,711.068153
492.0,492,715.697506
500.0,500,720.390737
500.0,500,725.078909
500.0,500,729.814499
500.0,500,734.509539
500.0,500,739.199235
500.0,500,743.898569
500.0,500,748.641826
500.0,500,753.330908
500.0,500,758.031469
500.0,500,762.727359
500.0,500,767.450004
500.0,500,772.148994
500.0,500,776.841535
500.0,500,781.533347
500.0,500,786.28464
500.0,500,790.973055
500.0,500,795.666478
500.0,500,800.360955
500.0,500,805.081282
500.0,500,809.77648
500.0,500,814.485889
500.0,500,819.172963
500.0,500,823.918344
500.0,500,828.625205
500.0,500,833.309182
500.0,500,838.009629
500.0,500,842.753126
500.0,500,847.485682
261.0,261,849.952553
460.0,460,854.282648
500.0,500,859.004533
452.0,452,863.24969
500.0,500,867.95998
500.0,500,872.661474
500.0,500,877.397553
500.0,500,882.103782
500.0,500,886.795754
500.0,500,891.506521
500.0,500,896.29243
500.0,500,900.983747
500.0,500,905.685062
500.0,500,910.39874
500.0,500,915.13119
500.0,500,919.8382
500.0,500,924.537606
500.0,500,929.219661
500.0,500,933.960244
500.0,500,938.664167
500.0,500,943.340239
500.0,500,948.047526
500.0,500,952.774932
500.0,500,957.45897
500.0,500,962.183452
500.0,500,966.886316
500.0,500,971.614636
500.0,500,976.319832
500.0,500,981.022734
422.0,422,984.982049
500.0,500,989.723725
500.0,500,994.43306
500.0,500,999.126474
500.0,500,1003.830768
500.0,500,1008.563207
500.0,500,1013.257598
500.0,500,1017.96783
500.0,500,1022.666057
500.0,500,1027.424014
500.0,500,1032.158794
500.0,500,1036.852851
500.0,500,1041.54086
500.0,500,1046.274356
500.0,500,1050.96207
500.0,500,1055.655732
500.0,500,1060.358299
500.0,500,1065.077269
500.0,500,1069.767925
500.0,500,1074.471834
500.0,500,1079.160107
500.0,500,1083.91989
500.0,500,1088.630971
500.0,500,1093.314354
500.0,500,1098.016757
500.0,500,1102.745702
500.0,500,1107.442812
500.0,500,1112.158866
500.0,500,1116.852571
500.0,500,1121.593755
500.0,500,1126.31187
500.0,500,1131.007616
500.0,500,1135.695292
500.0,500,1140.448469
500.0,500,1145.14551
500.0,500,1149.840129
500.0,500,1154.541495
500.0,500,1159.268918
354.0,354,1162.59763
500.0,500,1167.310319
500.0,500,1172.009995
500.0,500,1176.728871
500.0,500,1181.44191
500.0,500,1186.141021
500.0,500,1190.844975
500.0,500,1195.595856
500.0,500,1200.288286
500.0,500,1204.982726
500.0,500,1209.738015
500.0,500,1214.482258
500.0,500,1219.185066
500.0,500,1223.890149
500.0,500,1228.580558
500.0,500,1233.318385
500.0,500,1238.034297
500.0,500,1242.727913
500.0,500,1247.447507
500.0,500,1252.19177
500.0,500,1256.889847
500.0,500,1261.603628
500.0,500,1266.319419
500.0,500,1271.053122
500.0,500,1275.767348
500.0,500,1280.48241
500.0,500,1285.185773
500.0,500,1289.947522
500.0,500,1294.648297
500.0,500,1299.348368
500.0,500,1304.064214
500.0,500,1308.795967
500.0,500,1313.501906
500.0,500,1318.225835
500.0,500,1322.929561
500.0,500,1327.688841
500.0,500,1332.405445
500.0,500,1337.107178
500.0,500,1341.811525
500.0,500,1346.560515
500.0,500,1351.257017
195.0,195,1353.090998
500.0,500,1357.814223
500.0,500,1362.565268
500.0,500,1367.267247
500.0,500,1371.982929
292.0,292,1374.737036
500.0,500,1379.469091
500.0,500,1384.190073
500.0,500,1388.949293
500.0,500,1393.666123
500.0,500,1398.416198
500.0,500,1403.124873
500.0,500,1407.825528
500.0,500,1412.543395
500.0,500,1417.284477
500.0,500,1421.977672
500.0,500,1426.698953
326.0,326,1429.769659
321.0,321,1432.832982
500.0,500,1437.543381
315.0,315,1440.507841
500.0,500,1445.207842
500.0,500,1449.94764
500.0,500,1454.666965
500.0,500,1459.367399
500.0,500,1464.069225
500.0,500,1468.835133
500.0,500,1473.526721
500.0,500,1478.235064
500.0,500,1482.944708
500.0,500,1487.678797
500.0,500,1492.403652
500.0,500,1497.152505
500.0,500,1501.84562
500.0,500,1506.604049
500.0,500,1511.319108
500.0,500,1516.026163
500.0,500,1520.745127
500.0,500,1525.494322
500.0,500,1530.188709
500.0,500,1534.907874
500.0,500,1539.615833
500.0,500,1544.353143
500.0,500,1549.074279
500.0,500,1553.779788
393.0,393,1557.47172
500.0,500,1562.238889
379.0,379,1565.806862
500.0,500,1570.544201
500.0,500,1575.261052
500.0,500,1580.001173
500.0,500,1584.703721
500.0,500,1589.42325
500.0,500,1594.119384
500.0,500,1598.853413
500.0,500,1603.565888
500.0,500,1608.268869
500.0,500,1612.964756
500.0,500,1617.735051
500.0,500,1622.429238
500.0,500,1627.138453
500.0,500,1631.85681
500.0,500,1636.581562
500.0,500,1641.287094
500.0,500,1646.022695
500.0,500,1650.720599
500.0,500,1655.463501
500.0,500,1660.175854
500.0,500,1664.871728
500.0,500,1669.585472
500.0,500,1674.33137
500.0,500,1679.033224
500.0,500,1683.752132
500.0,500,1688.470295
500.0,500,1693.209378
500.0,500,1697.925315
500.0,500,1702.638075
500.0,500,1707.323936
500.0,500,1712.077414
500.0,500,1716.784124
500.0,500,1721.465537
500.0,500,1726.182922
500.0,500,1730.955053
500.0,500,1735.643096
472.0,472,1740.093686
463.0,463,1744.449795
394.0,394,1748.179169
401.0,401,1752.015103
417.0,417,1755.938833
442.0,442,1760.083563
441.0,441,1764.271026
365.0,365,1767.710148
407.0,407,1771.532233
416.0,416,1775.434792
443.0,443,1779.647233
477.0,477,1784.133944
490.0,490,1788.739846
500.0,500,1793.449981
500.0,500,1798.226745
500.0,500,1802.91848
500.0,500,1807.633161
500.0,500,1812.332763
500.0,500,1817.061847
500.0,500,1821.770921
420.0,420,1825.722298
500.0,500,1830.404695
475.0,475,1834.934334
500.0,500,1839.641514
500.0,500,1844.336579
500.0,500,1849.049187
500.0,500,1853.786465
500.0,500,1858.477299
500.0,500,1863.185428
500.0,500,1867.884564
500.0,500,1872.611407
500.0,500,1877.322462
500.0,500,1882.023886
